sample_id	k	n_features	factor_type
WJ-1-10	-0.0817276752047249	47	sample_complete_global
WJ-1-100	0.133519442991386	47	sample_complete_global
WJ-1-106	-0.0106954747772221	47	sample_complete_global
WJ-1-107	-0.0433203660318782	47	sample_complete_global
WJ-1-108	-0.0154295935190021	47	sample_complete_global
WJ-1-109	0.0389630769936744	47	sample_complete_global
WJ-1-11	-0.0225981627452967	47	sample_complete_global
WJ-1-110	0.000962379719162243	47	sample_complete_global
WJ-1-111	0.049564199556869	47	sample_complete_global
WJ-1-113	0.039337226455082	47	sample_complete_global
WJ-1-114	-0.00484954862645992	47	sample_complete_global
WJ-1-115	-0.0250575674743843	47	sample_complete_global
WJ-1-116	-0.046221882782028	47	sample_complete_global
WJ-1-117	-0.0240908082335025	47	sample_complete_global
WJ-1-118	-0.060676754949526	47	sample_complete_global
WJ-1-119	-0.0252982123042074	47	sample_complete_global
WJ-1-12	-0.10447959789478	47	sample_complete_global
WJ-1-120	-0.056391068938467	47	sample_complete_global
WJ-1-121	-0.0112780716805503	47	sample_complete_global
WJ-1-122	-0.033785352626758	47	sample_complete_global
WJ-1-124	-0.0648881622316679	47	sample_complete_global
WJ-1-125	0.0211241800736204	47	sample_complete_global
WJ-1-126	-0.031068491918596	47	sample_complete_global
WJ-1-127	-0.0331920122814537	47	sample_complete_global
WJ-1-128	0.0347979693772942	47	sample_complete_global
WJ-1-129	0.1130983464464	47	sample_complete_global
WJ-1-13	-0.0357876827895254	47	sample_complete_global
WJ-1-130	-0.0398519606814745	47	sample_complete_global
WJ-1-131	-0.0308016410377192	47	sample_complete_global
WJ-1-132	-0.0809688035637279	47	sample_complete_global
WJ-1-133	0.0260793515995417	47	sample_complete_global
WJ-1-134	-0.0738387951308823	47	sample_complete_global
WJ-1-135	-0.0401610615506414	47	sample_complete_global
WJ-1-136	-0.0326787044126462	47	sample_complete_global
WJ-1-137	0.00238158043310222	47	sample_complete_global
WJ-1-138	-0.00281909642994549	47	sample_complete_global
WJ-1-139	-0.0867742149862423	47	sample_complete_global
WJ-1-14	-0.111702308811935	47	sample_complete_global
WJ-1-140	-0.0419389831260233	47	sample_complete_global
WJ-1-142	-0.127393489704552	47	sample_complete_global
WJ-1-143	-0.127281340223881	47	sample_complete_global
WJ-1-144	-0.0877417054326557	47	sample_complete_global
WJ-1-145	0.0310381191317077	47	sample_complete_global
WJ-1-147	0.000886143754854629	47	sample_complete_global
WJ-1-149	-0.0142669324333795	47	sample_complete_global
WJ-1-15	-0.0836271452402357	47	sample_complete_global
WJ-1-151	-0.0493499230315635	47	sample_complete_global
WJ-1-152	-0.040467662718676	47	sample_complete_global
WJ-1-153	0.00795151576195963	47	sample_complete_global
WJ-1-154	-0.0589284851315313	47	sample_complete_global
WJ-1-155	-0.00890595386174198	47	sample_complete_global
WJ-1-156	-0.0765306909650008	47	sample_complete_global
WJ-1-158	0	47	sample_complete_global
WJ-1-159	-0.00977534693939219	47	sample_complete_global
WJ-1-16	-0.0308447535385241	47	sample_complete_global
WJ-1-160	0.0583697610680076	47	sample_complete_global
WJ-1-161	0.0708222921713428	47	sample_complete_global
WJ-1-163	-0.0155851401106375	47	sample_complete_global
WJ-1-164	0.002615822538651	47	sample_complete_global
WJ-1-165	0.0475059220851506	47	sample_complete_global
WJ-1-166	0.0385180035428547	47	sample_complete_global
WJ-1-167	0.103803634112062	47	sample_complete_global
WJ-1-168	0.0791671396506146	47	sample_complete_global
WJ-1-169	0.0449922552730015	47	sample_complete_global
WJ-1-17	-0.0561778974621774	47	sample_complete_global
WJ-1-170	0.118749343868338	47	sample_complete_global
WJ-1-172	0.00557111444490488	47	sample_complete_global
WJ-1-173	0	47	sample_complete_global
WJ-1-174	0.101975500423443	47	sample_complete_global
WJ-1-175	0.0213048703609573	47	sample_complete_global
WJ-1-179	0.493844806644653	47	sample_complete_global
WJ-1-18	-0.0502702918000324	47	sample_complete_global
WJ-1-180	0.142709664599117	47	sample_complete_global
WJ-1-181	0.00523677833751179	47	sample_complete_global
WJ-1-182	0.0957088550288105	47	sample_complete_global
WJ-1-183	0.120512976550785	47	sample_complete_global
WJ-1-184	0.120287376308859	47	sample_complete_global
WJ-1-185	0.029862639465307	47	sample_complete_global
WJ-1-186	0.175008571669615	47	sample_complete_global
WJ-1-188	-0.0228722238131383	47	sample_complete_global
WJ-1-189	-0.0109037644393908	47	sample_complete_global
WJ-1-190	-0.0363372005911202	47	sample_complete_global
WJ-1-194	0.00556904897250377	47	sample_complete_global
WJ-1-195	0.115273575572246	47	sample_complete_global
WJ-1-196	-0.0152701427451731	47	sample_complete_global
WJ-1-197	0.164893234426714	47	sample_complete_global
WJ-1-198	0.0348088424029385	47	sample_complete_global
WJ-1-199	0.0250581128824692	47	sample_complete_global
WJ-1-2	-0.163011831591227	47	sample_complete_global
WJ-1-20	-0.0352936629676535	47	sample_complete_global
WJ-1-200	0.00100729097810159	47	sample_complete_global
WJ-1-201	0.0174120220224054	47	sample_complete_global
WJ-1-202	0.047272554412281	47	sample_complete_global
WJ-1-204	-0.0139850925053935	47	sample_complete_global
WJ-1-205	-0.00722164854764174	47	sample_complete_global
WJ-1-206	0.0239374854203192	47	sample_complete_global
WJ-1-207	-0.0101870403247943	47	sample_complete_global
WJ-1-210	-0.010283540707114	47	sample_complete_global
WJ-1-211	-0.0681794878646329	47	sample_complete_global
WJ-1-214	-0.0945910762304081	47	sample_complete_global
WJ-1-215	-0.0624232580445607	47	sample_complete_global
WJ-1-216	-0.0800352762922003	47	sample_complete_global
WJ-1-217	-0.0602663441949076	47	sample_complete_global
WJ-1-218	-0.0721473507592947	47	sample_complete_global
WJ-1-22	-0.0344136714604062	47	sample_complete_global
WJ-1-220	-0.0343178588945392	47	sample_complete_global
WJ-1-221	-0.0750414884680524	47	sample_complete_global
WJ-1-222	-0.0147358979703043	47	sample_complete_global
WJ-1-223	-0.102056236823877	47	sample_complete_global
WJ-1-224	-0.063805247356953	47	sample_complete_global
WJ-1-225	-0.0295321907223638	47	sample_complete_global
WJ-1-226	-0.0335936602832874	47	sample_complete_global
WJ-1-227	-0.0182710490014557	47	sample_complete_global
WJ-1-228	0.00792134637400466	47	sample_complete_global
WJ-1-229	0	47	sample_complete_global
WJ-1-23	0.0346301383608107	47	sample_complete_global
WJ-1-230	-0.0395795851943674	47	sample_complete_global
WJ-1-24	-0.0366188774917902	47	sample_complete_global
WJ-1-25	-0.056298191741412	47	sample_complete_global
WJ-1-26	-0.231841172644089	47	sample_complete_global
WJ-1-28	-0.253901591919401	47	sample_complete_global
WJ-1-29	-0.218718112102337	47	sample_complete_global
WJ-1-3	-0.138722935953467	47	sample_complete_global
WJ-1-30	-0.317374959037601	47	sample_complete_global
WJ-1-31	-0.319771578444239	47	sample_complete_global
WJ-1-32	-0.256954657341581	47	sample_complete_global
WJ-1-33	-0.292427203353356	47	sample_complete_global
WJ-1-34	-0.259994861625366	47	sample_complete_global
WJ-1-35	-0.311156871582206	47	sample_complete_global
WJ-1-36	-0.332153444674979	47	sample_complete_global
WJ-1-37	-0.271489376165498	47	sample_complete_global
WJ-1-38	-0.269124843928047	47	sample_complete_global
WJ-1-39	-0.30912062321277	47	sample_complete_global
WJ-1-4	-0.0578072628864916	47	sample_complete_global
WJ-1-40	-0.21465847960485	47	sample_complete_global
WJ-1-41	-0.238716146487739	47	sample_complete_global
WJ-1-42	-0.192061063681336	47	sample_complete_global
WJ-1-46	-0.167963610100955	47	sample_complete_global
WJ-1-47	-0.137259743048396	47	sample_complete_global
WJ-1-48	-0.148357195506115	47	sample_complete_global
WJ-1-49	0.128586806951375	47	sample_complete_global
WJ-1-50	-0.0244873517113575	47	sample_complete_global
WJ-1-51	-0.0230647725452116	47	sample_complete_global
WJ-1-52	-0.177444231771595	47	sample_complete_global
WJ-1-53	-0.0132695399700538	47	sample_complete_global
WJ-1-55	0.0892926575863058	47	sample_complete_global
WJ-1-56	0.0864423376859946	47	sample_complete_global
WJ-1-57	0.100551972268271	47	sample_complete_global
WJ-1-58	0.0741903814316274	47	sample_complete_global
WJ-1-6	0.0127675009648627	47	sample_complete_global
WJ-1-60	0.0505172809558658	47	sample_complete_global
WJ-1-61	0.0556704216135913	47	sample_complete_global
WJ-1-62	0.084796228188921	47	sample_complete_global
WJ-1-63	0.0697921668332384	47	sample_complete_global
WJ-1-64	0.101715874412889	47	sample_complete_global
WJ-1-65	0.164770910978142	47	sample_complete_global
WJ-1-68	0.0283176861313592	47	sample_complete_global
WJ-1-78	0.132172077218023	47	sample_complete_global
WJ-1-79	0.142972995760907	47	sample_complete_global
WJ-1-8	-0.0687719307163093	47	sample_complete_global
WJ-1-80	0.0485086313869942	47	sample_complete_global
WJ-1-81	0.165264904358281	47	sample_complete_global
WJ-1-82	0.0369289982870029	47	sample_complete_global
WJ-1-84	-0.00325231211547816	47	sample_complete_global
WJ-1-85	0.0501801993069648	47	sample_complete_global
WJ-1-86	0.0604807406523236	47	sample_complete_global
WJ-1-87	0.0356148697960919	47	sample_complete_global
WJ-1-88	0.0275868766077139	47	sample_complete_global
WJ-1-89	0.040209371780179	47	sample_complete_global
WJ-1-9	-0.140734766182341	47	sample_complete_global
WJ-1-91	0.0311632874729568	47	sample_complete_global
WJ-1-92	0.0596334946938626	47	sample_complete_global
WJ-1-93	0.0637124384658492	47	sample_complete_global
WJ-1-94	0.0412210402688373	47	sample_complete_global
WJ-1-98	0.129017729561795	47	sample_complete_global
WJ-1-99	0.0945268859947106	47	sample_complete_global
WJ-1-69	0.42520915176744	47	sample_complete_global
WJ-1-70	0.348740790157429	47	sample_complete_global
WJ-1-71	0.445179185572265	47	sample_complete_global
WJ-1-72	0.296350399771679	47	sample_complete_global
WJ-1-73	0.229602084808189	47	sample_complete_global
WJ-1-74	0.193109333275071	47	sample_complete_global
WJ-1-75	0.253030379202357	47	sample_complete_global
WJ-1-76	0.285422497990723	47	sample_complete_global
WJ-1-77	0.230471554947872	47	sample_complete_global
WJ-1-10		0	sample_complete_group
WJ-1-100		0	sample_complete_group
WJ-1-106		0	sample_complete_group
WJ-1-107		0	sample_complete_group
WJ-1-108		0	sample_complete_group
WJ-1-109		0	sample_complete_group
WJ-1-11		0	sample_complete_group
WJ-1-110		0	sample_complete_group
WJ-1-111		0	sample_complete_group
WJ-1-113		0	sample_complete_group
WJ-1-114		0	sample_complete_group
WJ-1-115		0	sample_complete_group
WJ-1-116		0	sample_complete_group
WJ-1-117		0	sample_complete_group
WJ-1-118		0	sample_complete_group
WJ-1-119		0	sample_complete_group
WJ-1-12		0	sample_complete_group
WJ-1-120		0	sample_complete_group
WJ-1-121		0	sample_complete_group
WJ-1-122		0	sample_complete_group
WJ-1-124		0	sample_complete_group
WJ-1-125		0	sample_complete_group
WJ-1-126		0	sample_complete_group
WJ-1-127		0	sample_complete_group
WJ-1-128		0	sample_complete_group
WJ-1-129		0	sample_complete_group
WJ-1-13		0	sample_complete_group
WJ-1-130		0	sample_complete_group
WJ-1-131		0	sample_complete_group
WJ-1-132		0	sample_complete_group
WJ-1-133		0	sample_complete_group
WJ-1-134		0	sample_complete_group
WJ-1-135		0	sample_complete_group
WJ-1-136		0	sample_complete_group
WJ-1-137		0	sample_complete_group
WJ-1-138		0	sample_complete_group
WJ-1-139		0	sample_complete_group
WJ-1-14		0	sample_complete_group
WJ-1-140		0	sample_complete_group
WJ-1-142		0	sample_complete_group
WJ-1-143		0	sample_complete_group
WJ-1-144		0	sample_complete_group
WJ-1-145		0	sample_complete_group
WJ-1-147		0	sample_complete_group
WJ-1-149		0	sample_complete_group
WJ-1-15		0	sample_complete_group
WJ-1-151		0	sample_complete_group
WJ-1-152		0	sample_complete_group
WJ-1-153		0	sample_complete_group
WJ-1-154		0	sample_complete_group
WJ-1-155		0	sample_complete_group
WJ-1-156		0	sample_complete_group
WJ-1-158		0	sample_complete_group
WJ-1-159		0	sample_complete_group
WJ-1-16		0	sample_complete_group
WJ-1-160		0	sample_complete_group
WJ-1-161		0	sample_complete_group
WJ-1-163		0	sample_complete_group
WJ-1-164		0	sample_complete_group
WJ-1-165		0	sample_complete_group
WJ-1-166		0	sample_complete_group
WJ-1-167		0	sample_complete_group
WJ-1-168		0	sample_complete_group
WJ-1-169		0	sample_complete_group
WJ-1-17		0	sample_complete_group
WJ-1-170		0	sample_complete_group
WJ-1-172		0	sample_complete_group
WJ-1-173		0	sample_complete_group
WJ-1-174		0	sample_complete_group
WJ-1-175		0	sample_complete_group
WJ-1-179		0	sample_complete_group
WJ-1-18		0	sample_complete_group
WJ-1-180		0	sample_complete_group
WJ-1-181		0	sample_complete_group
WJ-1-182		0	sample_complete_group
WJ-1-183		0	sample_complete_group
WJ-1-184		0	sample_complete_group
WJ-1-185		0	sample_complete_group
WJ-1-186		0	sample_complete_group
WJ-1-188		0	sample_complete_group
WJ-1-189		0	sample_complete_group
WJ-1-190		0	sample_complete_group
WJ-1-194		0	sample_complete_group
WJ-1-195		0	sample_complete_group
WJ-1-196		0	sample_complete_group
WJ-1-197		0	sample_complete_group
WJ-1-198		0	sample_complete_group
WJ-1-199		0	sample_complete_group
WJ-1-2		0	sample_complete_group
WJ-1-20		0	sample_complete_group
WJ-1-200		0	sample_complete_group
WJ-1-201		0	sample_complete_group
WJ-1-202		0	sample_complete_group
WJ-1-204		0	sample_complete_group
WJ-1-205		0	sample_complete_group
WJ-1-206		0	sample_complete_group
WJ-1-207		0	sample_complete_group
WJ-1-210		0	sample_complete_group
WJ-1-211		0	sample_complete_group
WJ-1-214		0	sample_complete_group
WJ-1-215		0	sample_complete_group
WJ-1-216		0	sample_complete_group
WJ-1-217		0	sample_complete_group
WJ-1-218		0	sample_complete_group
WJ-1-22		0	sample_complete_group
WJ-1-220		0	sample_complete_group
WJ-1-221		0	sample_complete_group
WJ-1-222		0	sample_complete_group
WJ-1-223		0	sample_complete_group
WJ-1-224		0	sample_complete_group
WJ-1-225		0	sample_complete_group
WJ-1-226		0	sample_complete_group
WJ-1-227		0	sample_complete_group
WJ-1-228		0	sample_complete_group
WJ-1-229		0	sample_complete_group
WJ-1-23		0	sample_complete_group
WJ-1-230		0	sample_complete_group
WJ-1-24		0	sample_complete_group
WJ-1-25		0	sample_complete_group
WJ-1-26		0	sample_complete_group
WJ-1-28		0	sample_complete_group
WJ-1-29		0	sample_complete_group
WJ-1-3		0	sample_complete_group
WJ-1-30		0	sample_complete_group
WJ-1-31		0	sample_complete_group
WJ-1-32		0	sample_complete_group
WJ-1-33		0	sample_complete_group
WJ-1-34		0	sample_complete_group
WJ-1-35		0	sample_complete_group
WJ-1-36		0	sample_complete_group
WJ-1-37		0	sample_complete_group
WJ-1-38		0	sample_complete_group
WJ-1-39		0	sample_complete_group
WJ-1-4		0	sample_complete_group
WJ-1-40		0	sample_complete_group
WJ-1-41		0	sample_complete_group
WJ-1-42		0	sample_complete_group
WJ-1-46		0	sample_complete_group
WJ-1-47		0	sample_complete_group
WJ-1-48		0	sample_complete_group
WJ-1-49		0	sample_complete_group
WJ-1-50		0	sample_complete_group
WJ-1-51		0	sample_complete_group
WJ-1-52		0	sample_complete_group
WJ-1-53		0	sample_complete_group
WJ-1-55		0	sample_complete_group
WJ-1-56		0	sample_complete_group
WJ-1-57		0	sample_complete_group
WJ-1-58		0	sample_complete_group
WJ-1-6		0	sample_complete_group
WJ-1-60		0	sample_complete_group
WJ-1-61		0	sample_complete_group
WJ-1-62		0	sample_complete_group
WJ-1-63		0	sample_complete_group
WJ-1-64		0	sample_complete_group
WJ-1-65		0	sample_complete_group
WJ-1-68		0	sample_complete_group
WJ-1-78		0	sample_complete_group
WJ-1-79		0	sample_complete_group
WJ-1-8		0	sample_complete_group
WJ-1-80		0	sample_complete_group
WJ-1-81		0	sample_complete_group
WJ-1-82		0	sample_complete_group
WJ-1-84		0	sample_complete_group
WJ-1-85		0	sample_complete_group
WJ-1-86		0	sample_complete_group
WJ-1-87		0	sample_complete_group
WJ-1-88		0	sample_complete_group
WJ-1-89		0	sample_complete_group
WJ-1-9		0	sample_complete_group
WJ-1-91		0	sample_complete_group
WJ-1-92		0	sample_complete_group
WJ-1-93		0	sample_complete_group
WJ-1-94		0	sample_complete_group
WJ-1-98		0	sample_complete_group
WJ-1-99		0	sample_complete_group
WJ-1-69		0	sample_complete_group
WJ-1-70		0	sample_complete_group
WJ-1-71		0	sample_complete_group
WJ-1-72		0	sample_complete_group
WJ-1-73		0	sample_complete_group
WJ-1-74		0	sample_complete_group
WJ-1-75		0	sample_complete_group
WJ-1-76		0	sample_complete_group
WJ-1-77		0	sample_complete_group
WJ-1-10	-0.1033793307395	50	sample_available_global
WJ-1-100	0.134220117774099	50	sample_available_global
WJ-1-106	-0.0102165664388849	50	sample_available_global
WJ-1-107	-0.0215619750021929	50	sample_available_global
WJ-1-108	-0.00959777794852812	49	sample_available_global
WJ-1-109	0.0389630769936744	50	sample_available_global
WJ-1-11	-0.0301624843805541	50	sample_available_global
WJ-1-110	0.000962379719162243	50	sample_available_global
WJ-1-111	0.049564199556869	49	sample_available_global
WJ-1-113	0.0345826746495987	50	sample_available_global
WJ-1-114	-0.00484954862645992	50	sample_available_global
WJ-1-115	-0.00856100473829713	50	sample_available_global
WJ-1-116	-0.0452731842040066	50	sample_available_global
WJ-1-117	-0.0279941587907047	49	sample_available_global
WJ-1-118	-0.0535848256761753	50	sample_available_global
WJ-1-119	-0.0290438558654245	50	sample_available_global
WJ-1-12	-0.116753996166828	50	sample_available_global
WJ-1-120	-0.0553189821761251	50	sample_available_global
WJ-1-121	-0.0112780716805503	50	sample_available_global
WJ-1-122	-0.0309578215410795	50	sample_available_global
WJ-1-124	-0.0648881622316679	50	sample_available_global
WJ-1-125	0.0211241800736204	50	sample_available_global
WJ-1-126	-0.0153851875781257	50	sample_available_global
WJ-1-127	-0.0331920122814537	50	sample_available_global
WJ-1-128	0.0347979693772942	50	sample_available_global
WJ-1-129	0.10555724250591	50	sample_available_global
WJ-1-13	-0.0412749065616609	50	sample_available_global
WJ-1-130	-0.0348704874167396	50	sample_available_global
WJ-1-131	-0.0363806670160187	50	sample_available_global
WJ-1-132	-0.0660863456844609	50	sample_available_global
WJ-1-133	0.0260793515995417	50	sample_available_global
WJ-1-134	-0.056565038320926	50	sample_available_global
WJ-1-135	-0.0401610615506414	50	sample_available_global
WJ-1-136	-0.0345235584101928	50	sample_available_global
WJ-1-137	0.00238158043310222	50	sample_available_global
WJ-1-138	-0.00281909642994549	50	sample_available_global
WJ-1-139	-0.0716012689824552	50	sample_available_global
WJ-1-14	-0.111702308811935	50	sample_available_global
WJ-1-140	-0.039532070029189	50	sample_available_global
WJ-1-142	-0.120350082700554	50	sample_available_global
WJ-1-143	-0.0973925659386836	50	sample_available_global
WJ-1-144	-0.0877417054326557	50	sample_available_global
WJ-1-145	0.0310381191317077	50	sample_available_global
WJ-1-147	0.000886143754854629	50	sample_available_global
WJ-1-149	-0.0131803984698067	50	sample_available_global
WJ-1-15	-0.0836271452402357	50	sample_available_global
WJ-1-151	-0.0670470303924873	50	sample_available_global
WJ-1-152	-0.0452321506783093	50	sample_available_global
WJ-1-153	0.00795151576195963	50	sample_available_global
WJ-1-154	-0.0589284851315313	50	sample_available_global
WJ-1-155	-0.00890595386174198	50	sample_available_global
WJ-1-156	-0.0765306909650008	50	sample_available_global
WJ-1-158	0.000500125208311886	50	sample_available_global
WJ-1-159	-0.00977534693939219	50	sample_available_global
WJ-1-16	-0.0308447535385241	50	sample_available_global
WJ-1-160	0.0583697610680076	50	sample_available_global
WJ-1-161	0.0837277495493041	50	sample_available_global
WJ-1-163	-0.000726068722919138	50	sample_available_global
WJ-1-164	0.0119990349745791	50	sample_available_global
WJ-1-165	0.0495813252171473	50	sample_available_global
WJ-1-166	0.051888491675598	50	sample_available_global
WJ-1-167	0.103803634112062	50	sample_available_global
WJ-1-168	0.0645782401440727	50	sample_available_global
WJ-1-169	0.0449922552730015	50	sample_available_global
WJ-1-17	-0.12407778098396	50	sample_available_global
WJ-1-170	0.118749343868338	50	sample_available_global
WJ-1-172	0.026205036297057	50	sample_available_global
WJ-1-173	0.00659457810141362	49	sample_available_global
WJ-1-174	0.107853391030822	50	sample_available_global
WJ-1-175	0.0213048703609573	50	sample_available_global
WJ-1-179	0.502185412930054	50	sample_available_global
WJ-1-18	-0.0326887869576211	50	sample_available_global
WJ-1-180	0.142709664599117	50	sample_available_global
WJ-1-181	0.00523677833751179	50	sample_available_global
WJ-1-182	0.0813162776475238	50	sample_available_global
WJ-1-183	0.120512976550785	50	sample_available_global
WJ-1-184	0.118414950370301	50	sample_available_global
WJ-1-185	0.029862639465307	50	sample_available_global
WJ-1-186	0.179038857796627	50	sample_available_global
WJ-1-188	-0.0419368535373366	50	sample_available_global
WJ-1-189	-0.0361902466118735	50	sample_available_global
WJ-1-190	-0.0363372005911202	50	sample_available_global
WJ-1-194	0.00296266154040836	50	sample_available_global
WJ-1-195	0.115273575572246	50	sample_available_global
WJ-1-196	-0.014635136817688	50	sample_available_global
WJ-1-197	0.164893234426714	50	sample_available_global
WJ-1-198	0.0363638518731975	50	sample_available_global
WJ-1-199	0.0250581128824692	50	sample_available_global
WJ-1-2	-0.163011831591227	50	sample_available_global
WJ-1-20	-0.0352936629676535	50	sample_available_global
WJ-1-200	0.0019122552138171	50	sample_available_global
WJ-1-201	0.0174120220224054	50	sample_available_global
WJ-1-202	0.047272554412281	50	sample_available_global
WJ-1-204	-0.0139850925053935	50	sample_available_global
WJ-1-205	-0.0064053471511798	50	sample_available_global
WJ-1-206	0.0186753751480353	50	sample_available_global
WJ-1-207	-0.0101870403247943	50	sample_available_global
WJ-1-210	-0.00721197242057059	50	sample_available_global
WJ-1-211	-0.0772939247567237	50	sample_available_global
WJ-1-214	-0.0945910762304081	50	sample_available_global
WJ-1-215	-0.0645043949159003	50	sample_available_global
WJ-1-216	-0.0856692152249821	50	sample_available_global
WJ-1-217	-0.0614896433629752	50	sample_available_global
WJ-1-218	-0.0747401407727182	50	sample_available_global
WJ-1-22	-0.0344136714604062	50	sample_available_global
WJ-1-220	-0.0445099158289679	50	sample_available_global
WJ-1-221	-0.0750414884680524	50	sample_available_global
WJ-1-222	-0.0147358979703043	50	sample_available_global
WJ-1-223	-0.102056236823877	50	sample_available_global
WJ-1-224	-0.0688080558458282	50	sample_available_global
WJ-1-225	-0.032830183228306	50	sample_available_global
WJ-1-226	-0.0335936602832874	50	sample_available_global
WJ-1-227	-0.0182710490014557	50	sample_available_global
WJ-1-228	-0.00803999116256904	50	sample_available_global
